1329 [main] INFO  p.i.s.JavaInterviewSpringbootApplication - Starting JavaInterviewSpringbootApplication on LAPTOP-6M1MP88N with PID 3056 (D:\workspace\java\project\java-interview\java-interview-springboot\target\classes started by 陆陆 in D:\workspace\java\project\java-interview)
1337 [main] INFO  p.i.s.JavaInterviewSpringbootApplication - No active profile set, falling back to default profiles: default
3260 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
3279 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
3280 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
3281 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
3442 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
3442 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1990 ms
3805 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
4127 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
4183 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
4203 [main] INFO  p.i.s.JavaInterviewSpringbootApplication - Started JavaInterviewSpringbootApplication in 3.542 seconds (JVM running for 6.888)
